"Variable","Description","target_similarity","importance_score","phenotyping_features","expanded_features"
"PheCode:428.1","congestive heart failure (chf) nos","1","0.612","true","true"
"PheCode:428.2","heart failure nos","0.585","0.523","true","true"
"PheCode:428","congestive heart failure; nonhypertensive","0.694","0.448","true","true"
"PheCode:428.3","heart failure with reduced ef [systolic or combined heart failure]","0.504","0.384","true","true"
"PheCode:401.21","hypertensive heart disease","0.344","0.375","true","true"
"PheCode:401.2","hypertensive heart and/or renal disease","0.4","0.37","true","true"
"PheCode:425.2","secondary/extrinsic cardiomyopathies","0.414","0.366","true","true"
"PheCode:974","poisoning by water, mineral, and uric acid metabolism drugs","0.335","0.353","true","true"
"PheCode:797.1","cardiogenic shock","0.358","0.348","true","true"
"PheCode:426.92","cardiac defibrillator in situ","0.422","0.341","true","true"
"PheCode:411.8","other chronic ischemic heart disease, unspecified","0.452","0.333","true","true"
"PheCode:425","cardiomyopathy","0.395","0.332","true","true"
"RXNORM:20352","carvedilol","0.33","0.328","true","true"
"PheCode:428.4","heart failure with preserved ef [diastolic heart failure]","0.435","0.323","true","true"
"PheCode:394.4","acute rheumatic heart disease","0.362","0.322","true","true"
"PheCode:573.1","chronic passive congestion of liver","0.506","0.315","true","true"
"PheCode:425.1","primary/intrinsic cardiomyopathies","0.499","0.307","true","true"
"RXNORM:6916","metolazone","0.345","0.304","true","true"
"PheCode:427.21","atrial fibrillation","0.458","0.298","true","true"
"PheCode:415.21","primary pulmonary hypertension","0.27","0.296","true","true"
"PheCode:416","cardiomegaly","0.398","0.295","true","true"
"PheCode:1003","sudden death","0.363","0.291","true","true"
"LOINC:33762-6","nt-probnp (group:nt-bnp)","0.416","0.289","true","true"
"PheCode:425.8","other cardiomyopathy","0.357","0.286","true","true"
"PheCode:426.24","atrioventricular block, complete","0.285","0.284","true","true"
"PheCode:972","poisoning by agents primarily affecting the cardiovascular system","0.261","0.282","true","true"
"ShortName:INR","inr","0.305","0.281","true","true"
"PheCode:426.32","left bundle branch block","0.354","0.28","true","true"
"PheCode:420.1","myocarditis","0.313","0.279","true","true"
"PheCode:782.3","edema","0.315","0.271","true","true"
"PheCode:585.2","renal failure nos","0.25","0.27","true","true"
"PheCode:394","rheumatic disease of the heart valves","0.31","0.267","true","true"
"PheCode:415.2","chronic pulmonary heart disease","0.326","0.266","true","true"
"PheCode:427.12","paroxysmal ventricular tachycardia","0.391","0.264","true","true"
"PheCode:411.4","coronary atherosclerosis","0.379","0.261","true","true"
"RXNORM:28004","isosorbide mononitrate","0.249","0.254","true","true"
"ShortName:BNP","bnp","0.363","0.25","true","true"
"RXNORM:3407","digoxin","0.293","0.249","true","true"
"PheCode:797","shock","0.355","0.248","true","true"
"PheCode:411","ischemic heart disease","0.38","0.247","true","true"
"RXNORM:6058","isosorbide dinitrate","0.258","0.247","true","true"
"PheCode:394.7","disease of tricuspid valve","0.318","0.244","true","true"
"PheCode:425.11","hypertrophic obstructive cardiomyopathy","0.301","0.242","true","true"
"LOINC:38875-1","loinc:coagulation tissue factor induced.inr","0.27","0.242","true","true"
"PheCode:585.3","chronic renal failure [ckd]","0.379","0.24","true","true"
"PheCode:513.32","orthopnea","0.325","0.24","true","true"
"PheCode:427.42","cardiac arrest","0.215","0.24","true","true"
"RXNORM:38413","torsemide","0.248","0.239","true","true"
"PheCode:426.2","atrioventricular [av] block","0.287","0.239","true","true"
"PheCode:456","chronic venous insufficiency [cvi]","0.231","0.239","true","true"
"PheCode:420","carditis","0.235","0.236","true","true"
"ShortName:PT","pt","0.228","0.234","true","true"
"PheCode:276.6","fluid overload","0.312","0.234","true","true"
"PheCode:426.91","cardiac pacemaker in situ","0.26","0.231","true","true"
"RXNORM:1808","bumetanide","0.249","0.231","true","true"
"RXNORM:298869","eplerenone","0.225","0.231","true","true"
"LOINC:10535-3","loinc:digoxin","0.365","0.23","true","true"
"PheCode:415","pulmonary heart disease","0.315","0.229","true","true"
"PheCode:401.22","hypertensive chronic kidney disease","0.241","0.229","true","true"
"PheCode:585.1","acute renal failure","0.333","0.228","true","true"
"PheCode:411.41","aneurysm and dissection of heart","0.224","0.228","true","true"
"PheCode:394.2","mitral valve disease","0.208","0.228","true","true"
"PheCode:395.3","nonrheumatic tricuspid valve disorders","0.31","0.225","true","true"
"PheCode:285.3","sideroblastic anemia","0.222","0.224","true","true"
